class,obc(%),obcc(%),gap(pp)
com.thoughtworks.xstream.XStream,60.402687,16.778524,43.62416
com.thoughtworks.xstream.converters.reflection.FieldKey,78.57143,35.714287,42.85714
com.thoughtworks.xstream.core.DefaultConverterLookup,45.454548,31.818182,13.636366
com.thoughtworks.xstream.core.AbstractReferenceMarshaller,92.85714,42.857143,49.999996
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter,81.818184,31.818182,50.0
com.thoughtworks.xstream.converters.basic.URIConverter,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter,92.85714,28.57143,64.285706
com.thoughtworks.xstream.io.xml.xppdom.XppDomComparator,95.2381,59.523808,35.71429
com.thoughtworks.xstream.security.NoPermission,75.0,75.0,0.0
com.thoughtworks.xstream.core.JVM,33.333336,5.0,28.333336
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter$1,80.769226,34.615387,46.15384
com.thoughtworks.xstream.core.util.Base64Encoder,100.0,17.647058,82.35294
com.thoughtworks.xstream.core.util.SerializationMembers,82.35294,38.235294,44.11765
com.thoughtworks.xstream.core.util.Cloneables,100.0,90.0,10.0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy,100.0,16.666668,83.33333
com.thoughtworks.xstream.security.ExplicitTypePermission,75.0,75.0,0.0
com.thoughtworks.xstream.converters.javabean.BeanProvider,58.823532,17.647058,41.176476
com.thoughtworks.xstream.core.util.WeakCache$1,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.CompositeClassLoader,50.0,31.818182,18.181818
com.thoughtworks.xstream.security.WildcardTypePermission,92.85714,35.714287,57.142853
com.thoughtworks.xstream.io.binary.BinaryStreamReader,60.869564,17.391304,43.47826
com.thoughtworks.xstream.mapper.ClassAliasingMapper,100.0,14.285715,85.71429
com.thoughtworks.xstream.core.util.FastField,46.153847,42.307693,3.8461533
com.thoughtworks.xstream.converters.extended.ToStringConverter,75.0,75.0,0.0
com.thoughtworks.xstream.io.xml.AbstractDocumentReader,100.0,50.0,50.0
com.thoughtworks.xstream.io.xml.DomReader,71.42857,14.285715,57.14286
com.thoughtworks.xstream.converters.reflection.FieldDictionary,76.08696,43.47826,32.6087
com.thoughtworks.xstream.mapper.EnumMapper,87.5,18.75,68.75
com.thoughtworks.xstream.core.util.FastStack,60.000004,40.0,20.000004
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$2,100.0,50.0,50.0
com.thoughtworks.xstream.io.xml.XppDomWriter,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.MapperWrapper,100.0,60.000004,39.999996
com.thoughtworks.xstream.converters.basic.DateConverter,62.5,34.375,28.125
com.thoughtworks.xstream.converters.reflection.SerializableConverter$1,84.210526,28.947369,55.263157
com.thoughtworks.xstream.io.StatefulWriter,100.0,37.5,62.5
com.thoughtworks.xstream.converters.reflection.SerializableConverter$2,75.0,14.285715,60.714287
com.thoughtworks.xstream.io.binary.BinaryStreamWriter$IdRegistry,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter,50.0,16.666668,33.333332
com.thoughtworks.xstream.core.util.ObjectIdDictionary,100.0,50.0,50.0
com.thoughtworks.xstream.converters.reflection.ReflectionConverter,40.0,40.0,0.0
com.thoughtworks.xstream.core.util.SelfStreamingInstanceChecker,83.33333,33.333336,49.999992
com.thoughtworks.xstream.converters.extended.GregorianCalendarConverter,100.0,25.0,75.0
com.thoughtworks.xstream.mapper.SecurityMapper,90.0,80.0,10.0
com.thoughtworks.xstream.converters.extended.ISO8601SqlTimestampConverter,75.0,37.5,37.5
com.thoughtworks.xstream.converters.extended.ColorConverter,83.33333,33.333336,49.999992
com.thoughtworks.xstream.converters.collections.CharArrayConverter,83.33333,66.66667,16.666656
com.thoughtworks.xstream.converters.extended.LookAndFeelConverter,66.66667,33.333336,33.333336
com.thoughtworks.xstream.io.path.Path,91.17647,20.588236,70.588234
com.thoughtworks.xstream.converters.collections.ArrayConverter,90.0,70.0,20.0
com.thoughtworks.xstream.core.util.ObjectIdDictionary$IdWrapper,50.0,50.0,0.0
com.thoughtworks.xstream.converters.enums.EnumSetConverter,77.77778,11.111112,66.666664
com.thoughtworks.xstream.converters.extended.JavaMethodConverter,100.0,31.25,68.75
com.thoughtworks.xstream.converters.enums.EnumConverter,50.0,25.0,25.0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy$XmlMapEntriesIterator,75.0,50.0,25.0
com.thoughtworks.xstream.converters.collections.MapConverter,90.909096,27.272728,63.636368
com.thoughtworks.xstream.XStreamer,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.HierarchicalStreams,75.0,62.5,12.5
com.thoughtworks.xstream.persistence.FilePersistenceStrategy,72.72727,45.454548,27.272724
com.thoughtworks.xstream.security.NoTypePermission,50.0,50.0,0.0
com.thoughtworks.xstream.converters.collections.SingletonCollectionConverter,100.0,33.333336,66.666664
com.thoughtworks.xstream.mapper.AbstractXmlFriendlyMapper,65.0,5.0,60.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$NamedItemType,64.28571,21.428572,42.85714
com.thoughtworks.xstream.security.NullPermission,100.0,100.0,0.0
com.thoughtworks.xstream.security.RegExpTypePermission,75.0,66.66667,8.333328
com.thoughtworks.xstream.io.copy.HierarchicalStreamCopier,87.5,25.0,62.5
com.thoughtworks.xstream.core.util.WeakCache,75.0,58.333332,16.666668
com.thoughtworks.xstream.io.xml.XppDriver,100.0,50.0,50.0
com.thoughtworks.xstream.converters.basic.AbstractSingleValueConverter,50.0,50.0,0.0
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller,95.454544,63.636364,31.81818
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider,66.66667,50.0,16.666672
com.thoughtworks.xstream.core.util.Fields,75.0,8.333334,66.666664
com.thoughtworks.xstream.core.util.CustomObjectOutputStream,50.0,50.0,0.0
com.thoughtworks.xstream.security.TypeHierarchyPermission,50.0,50.0,0.0
com.thoughtworks.xstream.core.ReferenceByXPathUnmarshaller,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat,100.0,75.0,25.0
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter,68.75,18.75,50.0
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper,86.36364,65.909096,20.454544
com.thoughtworks.xstream.io.binary.Token,69.44444,13.888889,55.555553
com.thoughtworks.xstream.core.util.OrderRetainingMap,62.5,37.5,25.0
com.thoughtworks.xstream.mapper.DynamicProxyMapper,100.0,25.0,75.0
com.thoughtworks.xstream.converters.enums.EnumMapConverter,62.5,12.5,50.0
com.thoughtworks.xstream.XStream$3,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.CustomObjectInputStream,50.0,16.666668,33.333332
com.thoughtworks.xstream.persistence.XmlArrayList,85.71429,21.428572,64.28571
com.thoughtworks.xstream.converters.collections.TreeSetConverter,43.75,43.75,0.0
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriterHelper,50.0,50.0,0.0
com.thoughtworks.xstream.converters.extended.PropertyEditorCapableConverter,50.0,50.0,0.0
com.thoughtworks.xstream.converters.extended.DynamicProxyConverter,66.66667,29.166666,37.500008
com.thoughtworks.xstream.core.util.QuickWriter,100.0,25.0,75.0
com.thoughtworks.xstream.mapper.ArrayMapper,100.0,54.166668,45.833332
com.thoughtworks.xstream.converters.basic.NullConverter,75.0,50.0,25.0
com.thoughtworks.xstream.converters.collections.PropertiesConverter,93.75,31.25,62.5
com.thoughtworks.xstream.core.TreeMarshaller,90.0,20.0,70.0
com.thoughtworks.xstream.core.ReferenceByIdUnmarshaller,50.0,50.0,0.0
com.thoughtworks.xstream.core.TreeUnmarshaller,85.71429,42.857143,42.857143
com.thoughtworks.xstream.io.xml.DomWriter,100.0,16.666668,83.33333
com.thoughtworks.xstream.io.xml.AbstractPullReader,86.666664,26.666668,59.999996
com.thoughtworks.xstream.converters.extended.FontConverter,73.52941,8.823529,64.70588
com.thoughtworks.xstream.core.ClassLoaderReference,50.0,50.0,0.0
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.JavaFieldConverter,91.66667,8.333334,83.333336
com.thoughtworks.xstream.security.PrimitiveTypePermission,71.42857,57.14286,14.285713
com.thoughtworks.xstream.converters.collections.TreeMapConverter,67.64706,32.352943,35.294113
com.thoughtworks.xstream.persistence.FileStreamStrategy,93.333336,10.0,83.333336
com.thoughtworks.xstream.core.util.ISO8601JodaTimeConverter,75.0,75.0,0.0
com.thoughtworks.xstream.converters.extended.SubjectConverter,100.0,16.666668,83.33333
com.thoughtworks.xstream.mapper.DefaultMapper,87.5,37.5,50.0
com.thoughtworks.xstream.core.util.PresortedMap,50.0,12.5,37.5
com.thoughtworks.xstream.converters.basic.StringConverter,83.33333,50.0,33.33333
com.thoughtworks.xstream.core.util.CustomObjectInputStream$CustomGetField,35.0,25.0,10.0
com.thoughtworks.xstream.converters.collections.BitSetConverter,100.0,20.0,80.0
com.thoughtworks.xstream.converters.extended.ThrowableConverter,75.0,62.5,12.5
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper,90.0,20.0,70.0
com.thoughtworks.xstream.io.binary.Token$Formatter,91.66667,50.0,41.66667
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader,67.1875,40.625,26.5625
com.thoughtworks.xstream.mapper.AttributeMapper,61.764706,17.647058,44.117645
com.thoughtworks.xstream.converters.ErrorWritingException,70.0,35.0,35.0
com.thoughtworks.xstream.security.AnyTypePermission,75.0,50.0,25.0
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter,63.636364,10.606061,53.030304
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass,86.84211,47.368423,39.473686
com.thoughtworks.xstream.mapper.PackageAliasingMapper,80.769226,11.538462,69.23077
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider,50.0,11.111112,38.88889
com.thoughtworks.xstream.security.ForbiddenClassException,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.UseAttributeForEnumMapper,100.0,66.66667,33.33333
com.thoughtworks.xstream.mapper.LocalConversionMapper,83.33333,25.0,58.33333
com.thoughtworks.xstream.converters.collections.SingletonMapConverter,100.0,50.0,50.0
com.thoughtworks.xstream.io.AttributeNameIterator,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom,70.588234,47.058823,23.529411
com.thoughtworks.xstream.io.path.PathTrackingWriter,100.0,25.0,75.0
com.thoughtworks.xstream.core.util.Pool,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ActivationDataFlavorConverter,75.0,5.0,70.0
com.thoughtworks.xstream.converters.extended.RegexPatternConverter,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.CachingMapper,100.0,75.0,25.0
com.thoughtworks.xstream.core.util.ArrayIterator,100.0,50.0,50.0
com.thoughtworks.xstream.security.ArrayTypePermission,75.0,50.0,25.0
com.thoughtworks.xstream.core.util.CompositeClassLoader$1,75.0,50.0,25.0
com.thoughtworks.xstream.persistence.XmlSet,75.0,75.0,0.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter,76.666664,40.0,36.666664
com.thoughtworks.xstream.io.xml.PrettyPrintWriter,93.220345,38.98305,54.237293
com.thoughtworks.xstream.converters.collections.TreeSetConverter$1$1,50.0,25.0,25.0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$2,88.88889,5.555556,83.333336
com.thoughtworks.xstream.converters.javabean.PropertyDictionary,61.11111,33.333336,27.777775
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1,87.5,18.75,68.75
com.thoughtworks.xstream.io.path.PathTracker,87.5,62.5,25.0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$3,100.0,50.0,50.0
com.thoughtworks.xstream.converters.basic.CharConverter,83.33333,16.666668,66.66666
com.thoughtworks.xstream.converters.collections.CollectionConverter,90.909096,31.818182,59.09091
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy$ValidFilenameFilter,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.DependencyInjectionFactory,91.25,70.0,21.25
com.thoughtworks.xstream.io.xml.DomDriver,31.25,12.5,18.75
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter,88.37209,38.372093,50.0
